1. OP | PnL 5.83% | Confidence 71.0
2. SOL | PnL 5.39% | Confidence 73.0
3. ARB | PnL 2.93% | Confidence 73.0
4. ETH | PnL 2.37% | Confidence 72.0
5. BTC | PnL 1.83% | Confidence 68.0
6. ETH | PnL 1.64% | Confidence 73.0
7. ETH | PnL 1.00% | Confidence 67.0
8. BTC | PnL 0.34% | Confidence 74.0
9. XRP | PnL 0.15% | Confidence 71.0
10. BTC | PnL -0.17% | Confidence 72.0
11. XRP | PnL -2.91% | Confidence 64.0
12. BTC | PnL -4.31% | Confidence 74.0
13. SUI | PnL -4.89% | Confidence 78.0
14. APT | PnL -5.25% | Confidence 64.0
15. SUI | PnL -5.91% | Confidence 68.0
16. AVAX | PnL -7.51% | Confidence 72.0
