XRP | Signal=BUY | Confidence=64.0 | PnL=-2.91% | Action=BUY
APT | Signal=REDUCE | Confidence=64.0 | PnL=-5.25% | Action=BUY
BTC | Signal=BUY | Confidence=74.0 | PnL=0.34% | Action=HOLD
ETH | Signal=BUY | Confidence=67.0 | PnL=1.00% | Action=HOLD
OP | Signal=REDUCE | Confidence=71.0 | PnL=5.83% | Action=HOLD
BTC | Signal=BUY | Confidence=72.0 | PnL=-0.17% | Action=BUY
ETH | Signal=BUY | Confidence=73.0 | PnL=1.64% | Action=HOLD
ETH | Signal=BUY | Confidence=72.0 | PnL=2.37% | Action=HOLD
SOL | Signal=BUY | Confidence=73.0 | PnL=5.39% | Action=HOLD
AVAX | Signal=BUY | Confidence=72.0 | PnL=-7.51% | Action=BUY
ARB | Signal=BUY | Confidence=73.0 | PnL=2.93% | Action=HOLD
SUI | Signal=BUY | Confidence=68.0 | PnL=-5.91% | Action=BUY
BTC | Signal=BUY | Confidence=68.0 | PnL=1.83% | Action=HOLD
SUI | Signal=BUY | Confidence=78.0 | PnL=-4.89% | Action=BUY
XRP | Signal=BUY | Confidence=71.0 | PnL=0.15% | Action=HOLD
BTC | Signal=BUY | Confidence=74.0 | PnL=-4.31% | Action=BUY
